id,wish_id,name,description,created_at,updated_at
1,1,"アイブロウスタイリング
（カット・ワックス脱毛）","アイブロウスタイリングは、
眉毛の余分な産毛やムダ毛をワックスとツィーザー（毛抜き）を使って脱毛し、長さや毛量の調整をすることで目周りに明るさと透明感を与え、
清潔感のある整った眉毛に仕上げる技術です。 
骨格や筋肉、眉毛の生え方、お客様のイメージや好みをカウンセリングで確認し、眉毛の上に直接デッサンして余分な毛を脱毛します。",2022-05-17 12:58:18,2022-05-17 12:58:18
2,1,ハリウッドブロウリフト,"ハリウッドブロウリフト【HBL】は、眉毛をパーマとワックスでフワッとナチュラルに仕上げる次世代アイブロウです。
 ハリウッドブロウリフトの最大の魅力は毛流れを自由自在に動かせることで、自分に合った毛流れにより、自分らしさや個性を引き立てる美眉へと導く最新のアイブロウです。",2022-05-17 12:58:18,2022-05-17 12:58:18
3,1,ブロウラミネーション（パーマ）,"ブロウラミネーションとは、眉毛の毛流れを整えて形を作りやすくする眉毛パーマです。 
自眉毛を生かして、毛流れを調整し、ふんわりと立体的な眉毛に仕上げるもの。
外国人風メイク好きに人気の上向き立ち上げ眉毛や眉毛が足りないところをカバーしてるなど自由自在に作ることができる。
※欧米のものとは別の日本独特のメニューです。",2022-05-17 12:58:18,2022-05-17 12:58:18
4,1,2D.3D.4Dアートメイク,"アートメイクとは、皮膚のごく浅いところ（0.04〜0.2㎜程度）に色素を入れる洗っても落ちないメイクのことです。

２D⇨昔ながらのアートメイク。ペンシルで眉毛を縁取り、全体的に色味が入るためくっきりとした仕上がりです。

３D⇨眉毛を1本1本手彫りで彫り、色素を注入するため眉が生えているかのように再現できます。
部分的に生えない箇所などの細かな修正も可能。

４D⇨パウダー状に色素を入れる技術で、3Dアートメイクとセットで行われるのが一般的です。
眉頭が1番色が薄く、眉尻にいくにつれて色が濃くなる眉毛が美しいと言われているように、
まるでパウダーでふんわりと色を入れたかのようなグラデーション再現をすることも可能。
自然なお化粧をしたような仕上がり。
手彫りの行程が少なく、お肌への負担を減らして施術することができます。
※６Dもあるようですがほぼ４Dと同じようです。",2022-05-17 12:58:18,2022-05-17 12:58:18
5,1,"アイブロウメイク
","1人1人の顔の骨格や筋肉、毛質、ライフスタイル、好みなどいろいろな観点から自分に似合う眉毛の形を提案してもらい、
アイブロウペンシルやパウダー、眉マスカラ等でのメイクをします。",2022-05-17 12:58:18,2022-05-17 12:58:18
6,2,2D.3D.4Dアートメイク,"アートメイクとは、皮膚のごく浅いところ（0.04〜0.2㎜程度）に色素を入れる洗っても落ちないメイクのことです。

２D⇨昔ながらのアートメイク。ペンシルで眉毛を縁取り、全体的に色味が入るためくっきりとした仕上がりです。

３D⇨眉毛を1本1本手彫りで彫り、色素を注入するため眉が生えているかのように再現できます。
部分的に生えない箇所などの細かな修正も可能。

４D⇨パウダー状に色素を入れる技術で、3Dアートメイクとセットで行われるのが一般的です。
眉頭が1番色が薄く、眉尻にいくにつれて色が濃くなる眉毛が美しいと言われているように、
まるでパウダーでふんわりと色を入れたかのようなグラデーション再現をすることも可能。
自然なお化粧をしたような仕上がり。
手彫りの行程が少なく、お肌への負担を減らして施術することができます。
※６Dもあるようですがほぼ４Dと同じようです。",2022-05-17 12:58:18,2022-05-17 12:58:18
7,2,アイブロウメイク,"1人1人の顔の骨格や筋肉、毛質、ライフスタイル、好みなどいろいろな観点から自分に似合う眉毛の形を提案してもらい、
アイブロウペンシルやパウダー、眉マスカラ等でのメイクをします。",2022-05-17 12:58:18,2022-05-17 12:58:18
8,2,2D.3D.4Dアートメイク,"アートメイクとは、皮膚のごく浅いところ（0.04〜0.2㎜程度）に色素を入れる洗っても落ちないメイクのことです。

２D⇨昔ながらのアートメイク。ペンシルで眉毛を縁取り、全体的に色味が入るためくっきりとした仕上がりです。

３D⇨眉毛を1本1本手彫りで彫り、色素を注入するため眉が生えているかのように再現できます。
部分的に生えない箇所などの細かな修正も可能。

４D⇨パウダー状に色素を入れる技術で、3Dアートメイクとセットで行われるのが一般的です。
眉頭が1番色が薄く、眉尻にいくにつれて色が濃くなる眉毛が美しいと言われているように、
まるでパウダーでふんわりと色を入れたかのようなグラデーション再現をすることも可能。
自然なお化粧をしたような仕上がり。
手彫りの行程が少なく、お肌への負担を減らして施術することができます。
※６Dもあるようですがほぼ４Dと同じようです。",2022-05-17 12:58:18,2022-05-17 12:58:18
9,3,"アイブロウスタイリング
（カット・ワックス脱毛）","アイブロウスタイリングは、
眉毛の余分な産毛やムダ毛をワックスとツィーザー（毛抜き）を使って脱毛し、長さや毛量の調整をすることで目周りに明るさと透明感を与え、
清潔感のある整った眉毛に仕上げる技術です。 
骨格や筋肉、眉毛の生え方、お客様のイメージや好みをカウンセリングで確認し、眉毛の上に直接デッサンして余分な毛を脱毛します。",2022-05-17 12:58:18,2022-05-17 12:58:18
10,3,ハリウッドブロウリフト,"ハリウッドブロウリフト【HBL】は、眉毛をパーマとワックスでフワッとナチュラルに仕上げる次世代アイブロウです。
 ハリウッドブロウリフトの最大の魅力は毛流れを自由自在に動かせることで、自分に合った毛流れにより、自分らしさや個性を引き立てる美眉へと導く最新のアイブロウです。",2022-05-17 12:58:18,2022-05-17 12:58:18
11,3,ブロウラミネーション（パーマ）,"ブロウラミネーションとは、眉毛の毛流れを整えて形を作りやすくする眉毛パーマです。 
自眉毛を生かして、毛流れを調整し、ふんわりと立体的な眉毛に仕上げるもの。
外国人風メイク好きに人気の上向き立ち上げ眉毛や眉毛が足りないところをカバーしてるなど自由自在に作ることができる。
※欧米のものとは別の日本独特のメニューです。",2022-05-17 12:58:18,2022-05-17 12:58:18
12,3,2D.3D.4Dアートメイク,"アートメイクとは、皮膚のごく浅いところ（0.04〜0.2㎜程度）に色素を入れる洗っても落ちないメイクのことです。

２D⇨昔ながらのアートメイク。ペンシルで眉毛を縁取り、全体的に色味が入るためくっきりとした仕上がりです。

３D⇨眉毛を1本1本手彫りで彫り、色素を注入するため眉が生えているかのように再現できます。
部分的に生えない箇所などの細かな修正も可能。

４D⇨パウダー状に色素を入れる技術で、3Dアートメイクとセットで行われるのが一般的です。
眉頭が1番色が薄く、眉尻にいくにつれて色が濃くなる眉毛が美しいと言われているように、
まるでパウダーでふんわりと色を入れたかのようなグラデーション再現をすることも可能。
自然なお化粧をしたような仕上がり。
手彫りの行程が少なく、お肌への負担を減らして施術することができます。
※６Dもあるようですがほぼ４Dと同じようです。",2022-05-17 12:58:18,2022-05-17 12:58:18
13,3,アイブロウメイク,"1人1人の顔の骨格や筋肉、毛質、ライフスタイル、好みなどいろいろな観点から自分に似合う眉毛の形を提案してもらい、
アイブロウペンシルやパウダー、眉マスカラ等でのメイクをします。",2022-05-17 12:58:18,2022-05-17 12:58:18
14,4,"ラッシュリフト
（パリジェンヌ）・まつげパーマ","毎日のメイクのビューラーでまつげをカールさせる手間が省けるメニューです。
ビューラーの負担もなくまつげケアにもなります。

・ラッシュリフト
まつげの根本にカールを付けていくもの。
ビューラーで上げたようなカールを約1ヶ月以上キープさせることができます。
まつげ自体にはカールをほぼ付けず、根元をしっかり立ち上げることによって瞳を大きく見せることができる。
・パリジェンヌラッシュリフト
まつ毛にカールをつけるのではなく、根元から80度上向きにすることで自然な仕上がりにするもの。瞼のリフトアップ感も出ます。
★メリット
まつげが短めでも長さを最大限に見せることができる。

・まつげパーマ
根元を自然に立ち上げつつ、まつげ自体にもカールを付ける。
★メリット
カール感は好みにより調節することが可能
",2022-05-17 12:58:18,2022-05-17 12:58:18
15,4,まつげエクステ,"自まつげ1本に、グルー（接着剤）で人工まつげを装着し、
まつげを長く見せたり、ボリュームアップさせたりすることができるメニュー。
人工まつげのことをエクステと言います。
このエクステの長さ・太さ・カール・本数などを選び、ナチュラル系、セレブ系、セクシー系、ゴージャス系など
好みのデザインを演出することができます。

★メリット
・メイク時間短縮になる
・ノーメイクでも目力が出る
・汗や水に強い
★デメリット
・自まつげの本数によってつけられる本数が限られる
・クレンジング方法に気をつけなければならない",2022-05-17 12:58:18,2022-05-17 12:58:18
16,4,まつげメイク,"アイライナー・ビューラー・マスカラ等でメイクをし、
目元を大きく見せたり、華やかに見せたりするもの。
ビューラーの角度やマスカラの種類によって、
さまざまな印象のまつげにすることができます。",2022-05-17 12:58:18,2022-05-17 12:58:18
17,5,まつげエクステ,"自まつげ1本に、グルー（接着剤）で人工まつげを装着し、
まつげを長く見せたり、ボリュームアップさせたりすることができるメニュー。
人工まつげのことをエクステと言います。
このエクステの長さ・太さ・カール・本数などを選び、ナチュラル系、セレブ系、セクシー系、ゴージャス系など
好みのデザインを演出することができます。

★メリット
・メイク時間短縮になる
・ノーメイクでも目力が出る
・汗や水に強い
★デメリット
・自まつげの本数によってつけられる本数が限られる
・クレンジング方法に気をつけなければならない",2022-05-17 12:58:18,2022-05-17 12:58:18
18,5,まつげメイク,"アイライナー・ビューラー・マスカラ等でメイクをし、
目元を大きく見せたり、華やかに見せたりするもの。
ビューラーの角度やマスカラの種類によって、
さまざまな印象のまつげにすることができます。",2022-05-17 12:58:18,2022-05-17 12:58:18
19,6,"ラッシュリフト
（パリジェンヌ）・まつげパーマ","毎日のメイクのビューラーでまつげをカールさせる手間が省けるメニューです。
ビューラーの負担もなくまつげケアにもなります。

・ラッシュリフト
まつげの根本にカールを付けていくもの。
ビューラーで上げたようなカールを約1ヶ月以上キープさせることができます。
まつげ自体にはカールをほぼ付けず、根元をしっかり立ち上げることによって瞳を大きく見せることができる。
・パリジェンヌラッシュリフト
まつ毛にカールをつけるのではなく、根元から80度上向きにすることで自然な仕上がりにするもの。瞼のリフトアップ感も出ます。
★メリット
まつげが短めでも長さを最大限に見せることができる。

・まつげパーマ
根元を自然に立ち上げつつ、まつげ自体にもカールを付ける。
★メリット
カール感は好みにより調節することが可能",2022-05-17 12:58:18,2022-05-17 12:58:18
20,6,まつげエクステ,"自まつげ1本に、グルー（接着剤）で人工まつげを装着し、
まつげを長く見せたり、ボリュームアップさせたりすることができるメニュー。
人工まつげのことをエクステと言います。
このエクステの長さ・太さ・カール・本数などを選び、ナチュラル系、セレブ系、セクシー系、ゴージャス系など
好みのデザインを演出することができます。

★メリット
・メイク時間短縮になる
・ノーメイクでも目力が出る
・汗や水に強い
★デメリット
・自まつげの本数によってつけられる本数が限られる
・クレンジング方法に気をつけなければならない",2022-05-17 12:58:18,2022-05-17 12:58:18
21,6,アイラインアートメイク,"まぶたの縁（まつげの並ぶライン）に専用の針で色素を注入する施術です。
常にアイラインを引いているような目元を再現できます。
持続期間は約1〜3年です。数年かけて、肌のターンオーバーとともに色素が体外に排出され、薄くなっていく仕組みです。

★メリット
・メイク時間が短縮できる
・ノーメイクでも常に目を大きく見せることができる
★デメリット
・痛みを感じることがある
・施術後腫れる場合がある
・デザインの変更や修正が難しい",2022-05-17 12:58:18,2022-05-17 12:58:18
22,6,まつげメイク,"アイライナー・ビューラー・マスカラ等でメイクをし、
目元を大きく見せたり、華やかに見せたりするもの。
ビューラーの角度やマスカラの種類によって、
さまざまな印象のまつげにすることができます。",2022-05-17 12:58:18,2022-05-17 12:58:18
23,7,アイメイク,"アイシャドウやアイラインによって目を大きく見せたり、印象を変えるものです。
アイシャドウとは、まぶたに色を重ねて影をつくるものです。
まぶたに影をつけることで眉から目までの空間に奥行きを出し、眉と目の距離を短く見せることができ、結果、目が大きく見えます。
また、アイシャドウのカラーによっても華やかに見せたり、爽やかに見せたりもできます。",2022-05-17 12:58:18,2022-05-17 12:58:18
24,7,アイラインアートメイク,"まぶたの縁（まつげの並ぶライン）に専用の針で色素を注入する施術です。
常にアイラインを引いているような目元を再現できます。
持続期間は約1〜3年です。数年かけて、肌のターンオーバーとともに色素が体外に排出され、薄くなっていく仕組みです。

★メリット
・メイク時間が短縮できる
・ノーメイクでも常に目を大きく見せることができる
★デメリット
・痛みを感じることがある
・施術後腫れる場合がある
・デザインの変更や修正が難しい",2022-05-17 12:58:18,2022-05-17 12:58:18
25,8,アイラインアートメイク,"まぶたの縁（まつげの並ぶライン）に専用の針で色素を注入する施術です。
常にアイラインを引いているような目元を再現できます。
持続期間は約1〜3年です。数年かけて、肌のターンオーバーとともに色素が体外に排出され、薄くなっていく仕組みです。

★メリット
・メイク時間が短縮できる
・ノーメイクでも常に目を大きく見せることができる
★デメリット
・痛みを感じることがある
・施術後腫れる場合がある
・デザインの変更や修正が難しい",2022-05-17 12:58:18,2022-05-17 12:58:18
26,9,アイメイク,"アイシャドウやアイラインによって目を大きく見せたり、印象を変えるものです。
アイシャドウとは、まぶたに色を重ねて影をつくるものです。
まぶたに影をつけることで眉から目までの空間に奥行きを出し、眉と目の距離を短く見せることができ、結果、目が大きく見えます。
また、アイシャドウのカラーによっても華やかに見せたり、爽やかに見せたりもできます。",2022-05-17 12:58:18,2022-05-17 12:58:18
27,9,アイラインアートメイク,"まぶたの縁（まつげの並ぶライン）に専用の針で色素を注入する施術です。
常にアイラインを引いているような目元を再現できます。
持続期間は約1〜3年です。数年かけて、肌のターンオーバーとともに色素が体外に排出され、薄くなっていく仕組みです。

★メリット
・メイク時間が短縮できる
・ノーメイクでも常に目を大きく見せることができる
★デメリット
・痛みを感じることがある
・施術後腫れる場合がある
・デザインの変更や修正が難しい",2022-05-17 12:58:18,2022-05-17 12:58:18
28,10,マニキュア（ネイルポリッシュ）,"マニキュアとは、爪に塗るポリッシュのことです。
マニキュアのオフも除光液を使えばすぐにできます。
その日の気分やシチュエーションによって、
ネイルカラーをチェンジすることが可能です。

★メリット
・コスパがとても良い
★デメリット
・乾くのに時間がかかる",2022-05-17 12:58:18,2022-05-17 12:58:18
29,10,ジェルネイル,は、これはほんとなのいるのが、その紙でしょう」ジョバンニは自分はんぶんうしろの指輪ゆびをまげた両手。,2022-05-17 12:58:18,2022-05-17 12:58:18
30,10,"パラジェル
","自爪を削らずに楽しめるソフトジェルネイルです。
通常、ジェルネイル時は、爪とジェルネイルを密着させ、長持ちさせるためにサンディングといって爪の表面を軽く削って凹凸をつくります。
この処理が不要なのがパラジェルです。
パラジェルの場合、オフするのはトップジェルとカラージェルの部分のみで、自爪の上のベースジェルは削らずに、
パラリムーバーをふくませたコットンをアルミホイルで巻き放置しオフするので、爪が傷つきません。
また、高品質な顔料を使用しているため、発色が抜群に良く、持ちもジェルネイル同様３〜4週間と良いです。
そのため価格は少し高めです。",2022-05-17 12:58:18,2022-05-17 12:58:18
31,10,シェラックネイル,"ジェルネイルの「ツヤ感あるボリューム、持ちのよさ」とマニキュアの「自然な仕上がり、オン・オフが簡単なところ」という、
両方のいいところを合わせ持ったもの。
落とすときはアセトン入りコットンをのせてアルミホイルで包んで時間を置き、プッシャーで押して剥がしていきます。
UVライトで硬化でき、持ちも良いです。比較的リーズナブルで、時間もそんなにかからない。落とすときに爪を削る必要がないので、
ダメージが少ないというメリットも。
豊富なアートは難しい。",2022-05-17 12:58:18,2022-05-17 12:58:18
32,11,マニキュア（ネイルポリッシュ）,"マニキュアとは、爪に塗るポリッシュのことです。
マニキュアのオフも除光液を使えばすぐにできます。
その日の気分やシチュエーションによって、
ネイルカラーをチェンジすることが可能です。

★メリット
・コスパがとても良い
★デメリット
・乾くのに時間がかかる",2022-05-17 12:58:18,2022-05-17 12:58:18
33,11,パラジェル,"自爪を削らずに楽しめるソフトジェルネイルです。
通常、ジェルネイル時は、爪とジェルネイルを密着させ、長持ちさせるためにサンディングといって爪の表面を軽く削って凹凸をつくります。
この処理が不要なのがパラジェルです。
パラジェルの場合、オフするのはトップジェルとカラージェルの部分のみで、自爪の上のベースジェルは削らずに、
パラリムーバーをふくませたコットンをアルミホイルで巻き放置しオフするので、爪が傷つきません。
また、高品質な顔料を使用しているため、発色が抜群に良く、持ちもジェルネイル同様３〜4週間と良いです。
そのため価格は少し高めです。",2022-05-17 12:58:18,2022-05-17 12:58:18
34,11,シェラックネイル,"ジェルネイルの「ツヤ感あるボリューム、持ちのよさ」とマニキュアの「自然な仕上がり、オン・オフが簡単なところ」という、
両方のいいところを合わせ持ったもの。
落とすときはアセトン入りコットンをのせてアルミホイルで包んで時間を置き、プッシャーで押して剥がしていきます。
UVライトで硬化でき、持ちも良いです。比較的リーズナブルで、時間もそんなにかからない。落とすときに爪を削る必要がないので、
ダメージが少ないというメリットも。
豊富なアートは難しい。",2022-05-17 12:58:18,2022-05-17 12:58:18
35,12,マニキュア（ネイルポリッシュ）,"マニキュアとは、爪に塗るポリッシュのことです。
マニキュアのオフも除光液を使えばすぐにできます。
その日の気分やシチュエーションによって、
ネイルカラーをチェンジすることが可能です。

★メリット
・コスパがとても良い
★デメリット
・乾くのに時間がかかる",2022-05-17 12:58:18,2022-05-17 12:58:18
36,12,シェラックネイル,"ジェルネイルの「ツヤ感あるボリューム、持ちのよさ」とマニキュアの「自然な仕上がり、オン・オフが簡単なところ」という、
両方のいいところを合わせ持ったもの。
落とすときはアセトン入りコットンをのせてアルミホイルで包んで時間を置き、プッシャーで押して剥がしていきます。
UVライトで硬化でき、持ちも良いです。比較的リーズナブルで、時間もそんなにかからない。落とすときに爪を削る必要がないので、
ダメージが少ないというメリットも。
豊富なアートは難しい。",2022-05-17 12:58:18,2022-05-17 12:58:18